at home, No, stop, sure, a min, thanks,'ll be home soon, D, Dad
crazy, yes and no, eat lunch, yes, a reason, thanks, owe you one, M, Mom
sick, umm, be quiet, yea, a reason, thanks, love you, M, Mariam
at school, kind of, file your paperwork, maybe, a reason, thanks,'ll be home soon, S, Shamma
at work, sort of, meet me at 7, ill see, a reason, really?,'m so sorry, S, Shamma
at the gym, it's complicated, come downstairs, why, a reason, thanks, owe you one, S, Shamma
at the market, i can't explain, come to the party, when?, a reason, thanks,'m so sorry, S, Shamma
in bed, it's a secret, study, with who?, a reason, thanks,'m so sorry, R, Reem
downstairs, Yea, stay out, what?, a sec, thanks,'ll be waiting, R, Reem
out right now, Idk, buy me an orange, idk, a min, thanks, love you, M, Mom
okay, Maybe, eat dinner, no, an hour, no way,'m so sorry, R, Rashed
crazy, yes and no, eat lunch, yes, 48 days, really?,'ll text you later, R, Rashed
sick, umm, be quiet, yea, a good reason, thanks,'m so sorry, R, Reem
at school, kind of, file your paperwork, maybe, a valid reason, thanks,'ll be home soon, M, Mom
at work, sort of, meet me at 7, ill see, a break, thanks,'m so sorry, M, Mom
at the gym, it's complicated, come downstairs, why, a breather, thanks,'m so sorry, S, Shamma
at the market, i can't explain, come to the party, when?, my clothes back, thanks,'m so sorry, R, Reem
in bed, it's a secret, study, with who?, a place, thanks,'m so sorry, K, Khawla
downstairs, Yea, stay out, what?, a sec, what,'m so sorry, R, Rashed
out right now, Idk, buy me an orange, idk, a min, no way,'m so sorry, D, Dad
okay, Maybe, eat dinner, no, an hour, thanks,'m so sorry, O, Obaid
crazy, yes and no, eat lunch, yes, 48 days, what,'ll keep that in mind, K, Khawla
sick, umm, be quiet, yea, a good reason, no way,'ll keep that in mind, M, Mom
at school, kind of, file your paperwork, maybe, a valid reason, thanks, owe you one, R, Reem
at work, sort of, meet me at 7, ill see, a break, no way, owe you one, R, Reem
at the gym, it's complicated, come downstairs, why, a breather, seriously?,'m so sorry, D, Dad
at the market, i can't explain, come to the party, when?, my clothes back, really?,'m so sorry,
in bed, it's a secret, study, with who?, a place, no way,'m so sorry, M, Mom
downstairs, Yes, come home, no!, a sec, what, cant wait, R, Rashed
upstairs, Yea, stay out, what?, a min, no way, cant believe it, F, Fatima
out right now, Idk, buy me an orange, idk, an hour, thanks,'ll be waiting, M, Mom
okay, Maybe, eat dinner, no, 48 days, what, 'll keep that in mind, K, Khawla
crazy, yes and no, eat lunch, yes, a good reason, no way, wont forget, A, Ahmed
sick, umm, be quiet, yea, a valid reason, seriously?,'ll check later, D, Dad
at school, kind of, file your paperwork, maybe, a break, thanks,'ll text you later, A, Ahmed
at work, sort of, meet me at 7, ill see, a breather, what, 'll be home soon, A, Ahmed
at the gym, it's complicated, come downstairs, why, my clothes back, no way, can't do this, A, Ahmed
at the market, i can't explain, come to the party, when?, a time, seriously?, owe you one, R, Rashed
in bed, it's a secret, study, with who?, a place, really?, love you, D, Dad
